MEDICATION,DOSAGE_EN,DOSAGE_KA,DESCRIPTION_EN,DESCRIPTION_KA,NOTE_EN,FOOD_EN,BE_CAREFUL_EN,DO_NOT_GIVE_EN,SIDE_EFFECTS_EN,INTERACTIONS_EN,PREGNANCY_EN,BREAST_FEEDING_EN,IMPORTANT_EN,LENGTH_OF_TREATMENT_EN,DOXY_AND_CHILDREN_EN,NOTE_KA,FOOD_KA,BE_CAREFUL_KA,DO_NOT_GIVE_KA,SIDE_EFFECTS_KA,INTERACTIONS_KA,PREGNANCY_KA,BREAST_FEEDING_KA,IMPORTANT_KA,LENGTH_OF_TREATMENT_KA,DOXY_AND_CHILDREN_KA
Doxycycline with Aresunate,,,See MALARIA PROTOCOLS,ကွၢ်လၢ တၢ်ညၣ်ဂိၢ်ဃၢ်ကသံၣ်အကျိၤအကျဲ ။,,,,,,,,,,,,,,,,,,,,,,
Enalapril,1 tab = 5 or 20 mg,၁ ဖျၢၣ် = ၅ (မ့) ၂၀ mg,"To treat high blood pressure, heart failure. If possible, ask a doctor for advice.","တၢ်ကူစါသွံၣ်တၢ်ဆီၣ်သနံးထီၣ်၊ သးဖျၢၣ်တမၤတၢ်မၤဘၣ်။
 မ့ၢ်သ့နၢ့်ဃ့ကသံၣ်သရၣ်ဖးဒိၣ်အတၢ်ဟ့ၣ်ကူၣ်တက့ၢ်။",Can be given in combination with Amlodipine and Hydrochlorothiazide.,Can take with or without food.,"If possible, avoid using in people with kidney problems",Together with Spironolactone (there is risk of high Potassium).,"Blood Pressure can decrease too much, kidney problems, dry cough, high Potassium.","- Aluminium decreases absorption of Enalapril.
- Alcohol, Atenonolol, Hydrochlorothiazide, Furosemide increase effect.",Do not give.,Avoid during first month.,See Hydrochlorothiazide.,,,ဟ့ၣ်ဃုာ်ဒီးကသံၣ်ပာ်ဖှိၣ်ဃုာ် (Amlodipine) ဒီး (Hydrochlorothiazide)သ့။,အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,မ့ၢ်သ့န့ၣ်တဘၣ်သူဃုာ်ဒီးၦၤဆါလၢအိၣ်ဒီးကလ့ၢ်တၢ်ကီတၢ်ခဲသ့ၣ်တဖၣ်။,ဟ့ၣ်ဃုာ်ဒီး (Spironolactone) တၢ်ဘၣ်ယိၣ်အိၣ်လၢ (Potassium)ကအါထီၣ်ဒိၣ်တလၢန့ၣ်လီၤ။,သွံၣ်အတၢ်ဆီၣ်သနံးကလီၤစှၤဒိၣ်တလၢ၊ ကလ့ၢ်တၢ်ကီတၢ်ခဲ၊ကိး ဃ့ထီ၊ (Potassium) အါထီၣ်။,"- (Aluminium) ထုးလီၤစှၤကသံၣ (Enalapril) အသဟီၣ်။ - (Alcohol, Atenonolol, Hydrochlorothiazide, Furosemide) မၤအါထီၣ်ကသံၣ် (Enalapril) အသဟီၣ်။",တဘၣ်ဟ့ၣ်ဘၣ်။,ဖိမ့ၢ်စှၤန ့ၢ်တလါဒုးအီၣ်တဂ့ၤ။,ကွၢ်လၢ (Hydrochlorothiazide) ။,,
Ergometrine,,,See DRUGS USED FOR POST PARTUM HAEMORRAGE (PPH) and MISSED or INCOMPLETE ABORTION,ကွၢ်လၢ ကသံၣ်လၢတၢ်သူအီၤလၢ အိၣ်ဖျဲၣ်၀ံၤသွံၣ်လူ ဒီး ဖိသၣ်ဟးဂီၤလၢဒၢလီၢ်ပူၤ(ဟုးဟးဂီၤ) မ့ မိၢ်ဒၢဟုးလီၤဖှံၣ်တ၀ာ်။,,,,,,,,,,,,,,,,,,,,,,
Erythromycin,1 tab = 250 mg,၁ ဖျၢၣ် = ၂၅၀ mg,"Antibiotic for bacterial respiratory, oral and skin infections, Sexually Transmitted Infections (STIs). Alternative for patients allergic to penicillin/amoxicillin","ကသံၣ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်လၢကလံၤကျိၤဒီးကိာ်ပူၤတၢ်ပူၤလီၢ်ထီၣ်၊ ဖံးဘ့ၣ်တၢ်ဃၢ်နုာ်ဒီး
 တၢ်ဃၢ်နုာ်ခီဖျိတၢ်မံဃုာ်လိာ်သး။
 ၦၤဆါလၢအတဖီးဒီး ; (Penicillin/Amoxicillin) သ့ၣ်တဖၣ်သူက့ၤကသံၣ် (Erythromycin) န့ၣ်တက့ၢ်။",,Can take with or without food. But if possible take after food to decrease stomach upset.,Liver disease and kidney disease.,,"Nausea, diarrhoea, rashes.",,Can give,Can give,,,,,အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။ ဘၣ်ဆၣ်မ့ၢ်သ့န့ၣ်အီလီၤအီၤလၢအီၣ်တၢ်အီၣ်၀ံၤအလီၢ်ခံဒ်သိးကမၤလီၤစှၤ တၢ်ဟၢဖၢဆါလီၤ။,သူၣ်တၢ်ဆါဒီးကလ့ၢ်တၢ်ဆါ။,,သးကလဲၤ၊ ဟၢဖၢလူ၊ လိၤဖှိၣ်ထီၣ်။,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Ferrous Iron - Ferrous Sulfate - Ferrous Fumarate,"FERROUS SULFATE (F/S) - 200 mg tab = ELEMENTAL IRON ~40 mg. FERROUS FUMARATE (F/F)-100 mg tab = ELEMENTAL IRON ~ 33 mg There is evidence now suggesting that high doses might give the opposite result: instead of increasing iron levels in the blood, high doses decrease iron absorption and increase side effects without improving the anaemia.
- A small dose given once a day is better absorbed and gives less side effects that a higher dose taken 3 times a day","FERROUS SULFATE (F/S) - 200 mg tab =ELEMENTAL IRON ~40 mg
 FERROUS FUMARATE (F/F)-100 mg tab =ELEMENTAL IRON ~ 33 mg (၁)ဒိးစ် 
 - ခဲအံၤန့ၣ်တၢ်ပနီၣ်အုၣ်ကီၤသးအိၣ်၀ဲလၢတၢ်မ့ၢ်ဟ့ၣ်၀ဲကသံၣ်ဒိးစ်မ့ၢ်အါန့ၣ်ကမၤအါ ထီၣ်၀ဲတၢ်ထီဒါတၢ်ကဲထီၣ်သး လၢကဘၣ်မၤအါထီၣ်၀ဲထးသဟီၣ်လၢသွံၣ်ကျါ၊ တၢ်သူကသံၣ်ဒိးစ်မ့ၢ်အါန့ၣ်မၤလီၤစှၤ၀ဲထးထုးတၢ်သဟီၣ်ဒီးမၤအါထီၣ်၀ဲတၢ်ကဲထီၣ် ပိာ်ထွဲအခံဒီးတမၤစၢၤ၀ဲတၢ်သွံၣ်စှၤတၢ်ဆါဘၣ်လီၤ။
 - တၢ်ဟ့ၣ်ကသံၣ်ဒိးစ်လၢအစှၤလၢတနံၤတဘျီန့ၣ်ကထုးန့ၢ်ကသံၣ်သဟီၣ်ဂ့ၤဒိၣ်၀ဲဒီး တၢ်ကဲထီၣ်ပိာ်ထွဲအခံကစှၤန့ၢ်ဒံးတၢ်ဟ့ၣ်ကသံၣ်ဒိးစ်အါလၢတၢ်ဘၣ်အီၣ်အီၤတနံၤ သၢဘျီန့ၣ်လီၤ။",For treatment and prevention of anaemia.,ကသံၣ်ကူဆါယါဘျါဒီးဒီသဒၢသွံၣ်ဂံၢ်စၢ်တၢ်ဆါ။,"These guidelines are for a population where the prevalence of anaemia is > 40%, as in Karen State and many parts of Burma. - Tell the people that stool will become dark in colour There are different Iron Salts (Sulphate, Fumarate, Gluconate) which contain different quantity of Elemental Iron. The most commonly used are tablets of Ferrous Sulphate or Multi-vitamins containing Ferrous Fumarate (like Foli C or FBC or Obimin, etc.).","In theory it is better to take on empty stomach. But many people get stomach upset and stop taking treatment. If stomach upset, take with food. Do not give with milk or yogurt",If a child swallows many tablets the child can die. Keep the tablets away from children.,,Often stomach pain if taken BID or TID; constipation.,"- Ferrous decreases absorption of Ciprofloxacin and Doxycycline.
- Ferrous decreases effect of Methyldopa.",,,,"Alternate-day dosing (or Monday, Wednesday, Friday if it is
 easier to remember) has been shown to result in greater
 absorption of iron and less side-effects. It is good to tell
 patients to take iron like this. But if you think that the
 patients will not remember, tell them to take tablets
 every day 3) FOR HOW LONG - For Prevention: 3 consecutive months in a year.
 - For Treatment: 3 months are needed to get Haemoglobin
 to normal levels, 3 months to rebuild the iron stores in the
 liver: total 6 months.",,"(၄) ထးလၢအသဟီၣ်ဆူၣ်= ထးကသံၣ်တဖၣ်န့ၣ်အိၣ်၀ဲအါကလုာ် (Sulphate, Fumarate,
 Gluconate)လၢအပၣ်ဃုာ်၀ဲဒီးထးသဟီၣ်လၢအလီၤဆီလိာ်အသး န့ၣ်လီၤ။ တၢ်ညီနုၢ်သူ၀ဲအါန့ၣ်မ့ၢ်(Ferrous Sulphate) ကသံၣ်ဖျၢၣ် မ့တမ့ၢ် (Multi-vitamins)လၢအပၣ်ဃုာ်၀ဲဒီး(Ferrous Sulphate) လီၤ (ဒ်သိးFoli Cမ့တမ့ၢ်FBC မ့တမ့ၢ်Obimin…)။ လံာ်တၢ်နဲၣ်ကျဲအံၤမ့ၢ်၀ဲလၢၦၤနီၢ်ဂံၢ်လၢအိၣ်ဒီးတၢ်သွံၣ်ဂံၢ်စၢ်တၢ်ဆါလၢတၢ်လီၢ်သကုၤ ဆးဒးအါန့ၢ်မျးကယၤ ၄၀လၢကညီကီၢ်စဲၣ်ဒီးတၢ်လီၢ်အါတီၤလၢကီၢ်ပယီၤအပူၤ။ တဲဘၣ်ၦၤကညီလၢအ့ၣ်အလွဲၢ်ကထီၣ်သူ။",လၢလံာ်နဲၣ်ကျဲအပူၤန့ၣ်တၢ်ဘၣ်အီၣ်အီၤဖဲဟၢဖၢပူၤတၢ်အီၣ်တအိၣ်နီတမံၤ ဘၣ်အခါ။ ဘၣ်ဆၣ်ၦၤအါဂၤန့ၣ်အဟၢဖၢဆါဒီးပတုာ်ကွံာ်၀ဲကသံၣ်အံၤလီၤႉဟၢဖၢမ့ၢ်ဆါန့ၣ်အီၣ်ဒီး တၢ်အီၣ်တက့ၢ်။ တဘၣ်အီၣ်ဃုာ်ဒီးတၢ်နုၢ်ထံမ့တမ့ၢ်တၢနုၢ်ထံဆံၣ်(ယိကၢၣ်)ဘၣ်။,ဖိသၣ်အီၣ်ကသံၣ်မ့ၢ်အါနၢ့်တၢ်ပာ်ပနီၣ်ဒီးသံသ့။ ပာ်ကသံၣ်လၢအိၣ်ယံၤဒီးဖိသၣ်နၣ့်တက့ၢ်။,,ညီနုၢ်တၢ်မ့ၢ်အီၣ် BID (မ့) TID ဒုးကဲထီၣ်ကဖုဆါ၊ ဟၢဖၢကျၢၤလီၤ။,"-ထးထုးလီၤစှၤက့ၤ (Ciprofloxacin) ဒီး (Doxycycline) အသဟီၣ်နၣ့်လီၤ။
 - ထးထုးလီၤစှၤ (Methyldopa) အသဟီၣ်နၣ့်လီၤ။",,,,"(၂) ၦဲၤဘျီလဲၣ်- တနံၤအဘျီအဒိးစ်(မ့တမ့ၢ်မုၢ်တနံၤ၊ မုၢ်သၢနံၤ၊မုၢ်ယဲၢ်နံၤဖဲနမ့ၢ်သ့ၣ်နီၣ် အီၤညီ၀ဲအဂီၢ်) တၢ်အံၤပာ်ဖျါ၀ဲတၢ်အစၢလၢအဂ့ၤဒိၣ်လၢအထုးန့ၢ်ထး သဟီၣ်ဒီးတၢ်ကဲထီၣ်ပိာ်ထွဲအခံန့ၣ်စှၤ၀ဲလီၤ။ တၢ်အံၤဂ့ၤဒိၣ်မးလၢ ၦၤဆါတဖၣ်ကအီၣ်၀ဲထးကသံၣ်ဒ်အံၤလီၤ။ဘၣ်ဆၣ်ဒီးနမ့ၢ်သးအုးလၢ ၦၤဆါအံၤကသါပ့ၤနီၣ်၀ဲ န့ၣ်မၢအအီၣ်၀ဲကသံၣ်အံၤကိးနံၤဒဲးတက့ၢ်။ (၃)လၢအဆၢကတီၢ်ယံာ်ထဲလဲၣ်
 -တၢ်တြီဆၢ-လၢတနံၣ်အတီၢ်ပူၤန့ၣ်ဟ့ၣ်ပိာ်ထွဲအီၤလၢ၃လါအတီၢ်ပူၤ။
 - တၢ်ကူစါယါဘျါ- လၢ၃လါအတီၢ်ပူၤနၢ့် (ံေနာသါူသဘငည) ဟံမိကျိ ဘံန်ကဘၣ်က့ၤဘၣ်လီၢ်ဘၣ်ဆး၊ လၢအဂၤ၃လါနၢ့်ကဘၣ်သူၣ်ထီၣ်ထး အဆီဒီးပာ်ဖှိၣ်လၢသူၣ်ပူၤနၣ့်လီၤ (ခဲလၢၤ ၆ လါနၣ့်လီၤ)။",
Fluconazole,1 cap = 50 or 150 or 200 mg,၁ ဖျၢၣ် = ၅၀ (မ့) ၁၅၀ (မ့)၂၀၀mg,Anti-fungal.,ကသံၣ်မၤသံကုၤဃၢ်။,,Can take with or without food.,"- Liver and kidney disease.
- Avoid using with other drugs that can damage the liver.",,"Headache, rash (stop treatment).",,Can give,Can give,,,,,အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,"- သူၣ်တၢ်ဆါဒီးကလ့ၢ်တၢ်ဆါ။
 - တဘၣ်သူဃုာ်ဒီးကသံၣ်အဂုာ်အဂၤလၢအမၤဟးဂီၤသူၣ်သ့တဂ့ၤ။",,ခိၣ်ဆါ၊ လိၤဖှိၣ်ထီၣ် (ကဘၣ်ပတုာ်ကသံၣ်)။,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Fluoxetine,1 tab = 20 mg,၁ ဖျၢၣ် = ၂၀ mg,"Anti-depressant, generalised anxiety disorder and panic disorder.","ကသံၣ်မၤဘျါတၢ်သးဟးဂီၤတၢ်ဆါတၢ်သူၣ်ပိၢ်သး၀းလၢတဘၣ်လီၢ်ဘၣ်စးဒီးပျံၤတၢ်လၢတဘၣ်
 လီၢ်ဘၣ် စး။","- To stop therapy, reduce slowly by 10 mg every 2 - 4 weeks.
- Patients may have more anxiety for the first 2 - 3 weeks after starting the medication.",Can be taken with food or without food.,"- Heart disease, diabetes, epilepsy, gastro-intestinal bleeding.
- In young adult can cause suicidal thinking.
- Patients should not drive or operating machinery.","- With Amitryptiline; with Tramadol.
- To patients with not controlled epilepsy","- Diarrhoea, abdominal pain, nausea, constipation, gastric pain, anxiety, convulsions, drowsiness, dizziness, dry mouth, dry eyes,  headache, increased sweating, decreased libido.
- RARE SYNDROME: tremor, rigidity, tachycadia, high or low blood pressure, diarrhoea, shivering, high temperature, agitation, confusion","- Alcohol: more risk of feeling sleepy.
- Carbamazepine, Phenobarbitone, Phenytoin: reduce effect of  Fluoxetine.
- Fluoxetine decreases effect of Carbamazepine, Phenobarbitone, Phenytoin.",Give only if necessary,Give only if necessary,,,,"- လၢတၢ်ကပတုာ်ကသံၣ်အဂီၢ်၊မၤလီၤစှၤကသံၣ်ဒိးစ်ကယီကယီ၁၀ mg ၂-၄နွံ
  တဘျီတက့ၢ်။
 - ၦၤဆါအံၤကအိၣ်ဒီးတၢ်သူၣ်ပိၢ်သး၀းဒိၣ်ဒိၣ်သ့၀ဲဖဲစးထီၣ်အီၣ်၀ဲကသံၣ်လၢအခီၣ်ထံး
 ၂-၃နွံလီၤ။",အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,"- ၦၤလၢအိၣ်ဒီးသးတၢ်ဆါ၊ဆံၣ်ဆၢတၢ်ဆါ၊တၢ်ထီၣ်ထိးပျုၢ်တၢ်ဆါ။
 - ၦံာ်သွံၣ်ယွၤ၊ၦၤသးစၢ်တဖၣ်အီၣ်သံလီၤအသးသ့၀ဲလီၤ။
 - ၦၤဆါတဖၣ်တဘၣ်နီကါမ့တမ့ၢ်မၤစဲးဖီကဟၣ်အတၢ်မၤဘၣ်။","- ဃုာ်ဒီး(Amitryptiline)။ ဃုာ်ဒီး(Tramadol)။
 - လၢၦၤဆါလၢအပၢၤဃာ်တၢ်ထီၣ်ထိးပျုၢ်တၢ်ဆါတန့ၢ်ဘၣ်တဖၣ်အအိၣ်တဂ့ၤ။","- တၢ်ဟၢဖၢလူ၊ တၢ်ဟၢဖၢဆါ၊ သးကလဲၤ၊ အ့ၣ်ကျၢၤ၊ကဖုဆါ၊ သူၣ်ပိၢ်သး၀းတၢ်ထီၣ်ကနိး၊ မိၣ်မံခ့သး၊ ခိၣ်မူၤ၊ ကိာ်ပူၤဃ့ထီ၊ မဲာ်ချံဃ့ထီခိၣ်ဆါမၤအါထီၣ်ကပၢၤ၊ မၤလီၤစှၤတၢ်သးကတၢ။
 - တၢ်ဆါပနီၣ်လၢတညီနုၢ်ကဲထီၣ်သး=စုကနိး၊ ဆှိၣ်ထီၣ်၊ သးစံၣ်ချ့  သွံၣ်တၢ်ဆီၣ်သနံးထီၣ်မ့တမ့ၢ်စှၤလီၤ၊တၢ်အ့ၣ်လူ၊ တၢ်ဂၢၢ်ကနိး၊  တၢ်ကိၢ်ထီၣ်ဒိၣ်ဒိၣ်၊ ပတုာ်တၢ်ဟူးတၢ်ဂဲၤတန့ၢ်ဘၣ်၊ ထၢမံထၢမၣ်။","- တၢ်မူၤတၢ်ဘှီး=မၤလီၤမံခ့ကထုတၢ်အါထီၣ်။ 
- (Carbamazepine, Phenobarbitone, Phenytoin) မၤလီၤစှၤ (Fluoxetine) အသဟီၣ်။ 
- (Fluoxetine)မၤလီၤစှၤ (Carbamazepine, Phenobarbitone, Phenytoin)အသဟီၣ်။",ဟ့ၣ်ဖဲမ့ၢ်လိၣ်နီၢ်နီၢ်။,ဟ့ၣ်ဖဲမ့ၢ်လိၣ်နီၢ်နီၢ်။,,,
Folic Acid,1 tab = 5 mg,၁ ဖျၢၣ် = ၅ mg,,,,Can take with or without food.,,,,,,,,,,,အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,,,,,,,,,
Furosemide PO,1 tab = 20 or 40 mg,၁ ဖျၢၣ် =၂၀ (မ့) ၄၀ mg,"Diuretic.
For early phase of nephrotic syndrome, for chronic heart failure.","ကသံၣ်လၢဒုးဟးထီၣ်ဆံၣ်။
 ယါဘျါကလ့ၢ်တၢ်ဆါ (nephrotic syndrome) လၢအဆိကတၢၢ်အပတီၢ် ဒီးသးဖျၢၣ်တမၤတၢ်မၤဘၣ်လၢအယံၤအထၢ။",,Can take with or without food.,"Old people, low blood pressure, gout, diabetes.",Dehydration.,"Low Sodium and low Potassium, low blood pressure, high glucose.",,Do not give to treat high blood pressure (use Methyldopa).,Can give,,,,,အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,ၦၤသးၦၢ်ဖးဒိၣ်၊ သွံၣ်တၢ်ဆီၣ်သနံးလီၤစှၤ၊ ဃံဆၢညီးတၢ်ဆါ (ေလးဖက်နာ)တၢ်ဆါ၊ ဆံၣ်ဆၢတၢ်ဆါ။,ထံသံးနိသံး။,(Sodium) စှၤလီၤ၊ (Potassium) စှၤလီၤ၊ သွံၣ်တၢ်ဆီၣ်သနံးလီၤစှၤ၊ အံသၣ်ဆၢဒးအါထီၣ်။,,လၢအိၣ်ဒီးသွံၣ်ဆီၣ်သနံးဒိၣ်ဒိၣ်နၣ့်တဘၣ်ဟ့ၣ်တဂ့ၤ (သူ Methyldopa)။,ဟ့ၣ်သ့။,,,
Furosemide IV,1 amp = 2 cc = 20 mg,၁ ပလီ = ၂ cc ] ၂၀ mg,"Diuretic.
Emergency treatment for patients in pulmonary oedema (acute heart failure) and very high blood pressure (>220/120).","ကသံၣ်လၢဒုးဟးထီၣ်ဆံၣ်။
 တၢ်ကူဆါယါဘျါအဆိအခ့လျၢၦၤဆါအိၣ်ဒီးပသိၣ်ထံနုာ်(သးဖျၢၣ်တမၤတၢ်မၤဘၣ်သတူၢ်ကလာ်) ဒီးသွံၣ်တၢ်ဆီၣ်သနံးလၢအအါ(အါနၢ့်၂၂၀ / ၁၂၀)။",Repeat after 1 - 2 hours if not improving.,,"Old people, low blood pressure, gout, diabetes","Dehydration, to treat high blood pressure in pregnancy (use Labetalol or Hydralazine).","Low Sodium and low Potassium, low blood pressure, high glucose.",,Give only if necessary,Can give,,,,မ့ၢ်တကိညၢ်လီၤဘၣ်နၢ့် ၁-၂နၣ်ရံၣ်အတီၢ်ပူၤဟ့ၣ်ကဒီးအသီတဘျီ။,,ၦၤသးၦၢ်ဖးဒိၣ်၊ သွံၣ်တၢ်ဆီၣ်သနံးလီၤစှၤ၊ ခီၣ်မုၢ်ဆၢညီး(ေလးဖက်နာ) တၢ်ဆါ၊ ဆံၣ်ဆၢတၢ်ဆါ။,"ထံသံးနိသံး၊ ၦၤမိၢ်ဒၢလၢအိၣ်ဒီးသွံၣ်ဆီၣ်သနံးဒိၣ်ဒိၣ် - သူ (Labetalol)
 မ့ (Hydralazine)။",(Sodium) စှၤလီၤ၊ (Potassium) စှၤလီၤ၊ သွံၣ်တၢ်ဆီၣ်သနံးလီၤစှၤ၊ အံသၣ်ဆၢဒးအါထီၣ်။,,ဟ့ၣ်ဖဲမ့ၢ်လိၣ်နီၢ်နီၢ်။,ဟ့ၣ်သ့။,,,
Gentamicin,1 amp = 2 cc = 80 mg,၁ ပလီ = ၂ ခခ = ၈၀ mg,"Antibiotic to use together with ampicillin for severe bacterial infections:
meningitis, sepsis, severe pneumonia, severe kidney infections, severe biliary-tract infections, severe trauma.","ကသံၣ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်သူဃုာ်ဒီး (Ampicillin) လၢ (ဘၣ်ထံရံယၤ) ဃၢ်နုာ်လၢအနး၊
 လၢခိၣ်နူာ်သလီ၊ လၢသွံၣ်ကျါ၊ လၢပသိၣ်လၢအနး၊ လၢကလ့ၢ်လၢအနး၊ လၢသဒံကျိၤလၢအနး၊
 တၢ်ဘၣ်ဒိဘၣ်ထံးလၢအနး။","- If possible, calculate the dose by weight.
- Can use Ceftriaxone instead of Ampicillin+Gentamicin.
- Max duration 7 days.",,Kidney disease.,"If possible, do not give with Furosemide. If you have to, give one drug in the morning and the other one in the evening.",Ear and kidney damage,,If possible avoid and use Ceftriaxone.,Can give,,,,"- မ့ၢ်သ့န့ၣ်ကဘၣ်ဒွး(ဒိးစ်) လၢၦၤဆါအကံလိအဖီခိၣ်။
 - နသူကသံၣ် (Ceftriaxone) လၢ(Ampicillin+Gentamicin) အခၢၣ်စးသ့။
 - ဟ့ၣ်အါကတၢၢ်၇သီ။",,ကလ့ၢ်တၢ်ဆါ။,"မ့ၢ်သ့တဘၣ်ဟ့ၣ်ဃုာ်ဒီး (Furosemide) ဘၣ်။ မၢ့်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်တမၠိ
 လၢဂီၤခီဒီးအဂၤတမၠိလၢဟါခီ။",နၢ်ဒီးကလ့ၢ်ဟးဂီၤ။,,မ့ၢ်သ့ဟးဆှဲးဒီးသ (Ceftriaxone) တက့ၢ်။,ဟ့ၣ်သ့။,,,
Gentamicin Eye Drops,Eye Drops,ကသံၣ်စီၤ (ကၠီၤ)မဲာ်,"Antibiotic drops.
 To treat bacterial conjunctivitis or to prevent bacterial infections after eye injuries.","ကသံၣ်ကၠီၤမဲာ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်တၢ်သူအီၤလၢမဲာ်ချံတၢ်ဃၢ်နုာ်(မ့)လၢတၢ်ဒီသဒၢဃာ်
 တၢ်ဃၢ်ဖဲမဲာ်ချံဘၣ်ဒိ၀ံၤလီၢ်ခံ။","CHILD and ADULT At the beginning 1 drop every 2 hours, after improvement QID. 
Continue for 48 hours after healing.",,,,,,,,,,,ဖိသၣ် ဒီး ၦၤနီၢ်ဒိၣ် = စးထီၣ်ဟ့ၣ် တတိၣ်လၢ၂ နၢ်ရံၣ်တဘျီ၊ မ့ၢ်ကိၢ်ညၢ်လီၤဒီး တနံၤ ၄ဘျီ၊ မ့ၢ်ဘျါ၀ံၤလီၢ်ခံဆဲးသူအီၤ ၄၈ နၣ်ရံၣ် (၂ သီ)။,,,,,,,,,,
